"LAW_CD","EMD_CD","GU_NM","LAW_NM"
"1114014700","11140147",중구,쌍림동
"1114014800","11140148",중구,을지로6가
"1114014900","11140149",중구,을지로7가
"1114015000","11140150",중구,을지로4가
"1114015100","11140151",중구,을지로5가
"1114015200","11140152",중구,주교동
"1114015300","11140153",중구,방산동
"1114015400","11140154",중구,오장동
"1114015500","11140155",중구,을지로3가
"1114015600","11140156",중구,입정동
"1114015700","11140157",중구,산림동
"1114015800","11140158",중구,충무로3가
"1114015900","11140159",중구,초동
"1114016000","11140160",중구,인현동1가
"1114016100","11140161",중구,저동2가
"1114016200","11140162",중구,신당동
"1114016300","11140163",중구,흥인동
"1114016400","11140164",중구,무학동
"1114016500","11140165",중구,황학동
"1114016600","11140166",중구,서소문동
"1114016700","11140167",중구,정동
"1114016800","11140168",중구,순화동
"1114016900","11140169",중구,의주로1가
"1114017000","11140170",중구,충정로1가
"1114017100","11140171",중구,중림동
"1114017200","11140172",중구,의주로2가
"1114017300","11140173",중구,만리동1가
"1114017400","11140174",중구,만리동2가
"1117010100","11170101",용산구,후암동
"1117010200","11170102",용산구,용산동2가
"1117010300","11170103",용산구,용산동4가
"1117010400","11170104",용산구,갈월동
"1117010500","11170105",용산구,남영동
"1117010600","11170106",용산구,용산동1가
"1117010700","11170107",용산구,동자동
"1117010800","11170108",용산구,서계동
"1117010900","11170109",용산구,청파동1가
"1117011000","11170110",용산구,청파동2가
"1117011100","11170111",용산구,청파동3가
"1117011200","11170112",용산구,원효로1가
"1117011300","11170113",용산구,원효로2가
"1117011400","11170114",용산구,신창동
"1117011500","11170115",용산구,산천동
"1117011600","11170116",용산구,청암동
"1117011700","11170117",용산구,원효로3가
"1117011800","11170118",용산구,원효로4가
"1117011900","11170119",용산구,효창동
"1117012000","11170120",용산구,도원동
"1117012100","11170121",용산구,용문동
"1117012200","11170122",용산구,문배동
"1117012300","11170123",용산구,신계동
"1117012400","11170124",용산구,한강로1가
"1117012500","11170125",용산구,한강로2가
"1117012600","11170126",용산구,용산동3가
"1117012700","11170127",용산구,용산동5가
"1117012800","11170128",용산구,한강로3가
"1117012900","11170129",용산구,이촌동
"1117013000","11170130",용산구,이태원동
"1117013100","11170131",용산구,한남동
"1117013200","11170132",용산구,동빙고동
"1117013300","11170133",용산구,서빙고동
"1117013400","11170134",용산구,주성동
"1117013500","11170135",용산구,용산동6가
"1117013600","11170136",용산구,보광동
"1120010100","11200101",성동구,상왕십리동
"1120010200","11200102",성동구,하왕십리동
"1120010300","11200103",성동구,홍익동
"1120010400","11200104",성동구,도선동
"1120010500","11200105",성동구,마장동
"1120010600","11200106",성동구,사근동
"1120010700","11200107",성동구,행당동
"1120010800","11200108",성동구,응봉동
"1120010900","11200109",성동구,금호동1가
"1120011000","11200110",성동구,금호동2가
"1120011100","11200111",성동구,금호동3가
"1120011200","11200112",성동구,금호동4가
"1120011300","11200113",성동구,옥수동
"1120011400","11200114",성동구,성수동1가
"1120011500","11200115",성동구,성수동2가
"1120011800","11200118",성동구,송정동
"1120012200","11200122",성동구,용답동
"1121510100","11215101",광진구,중곡동
"1121510200","11215102",광진구,능동
"1121510300","11215103",광진구,구의동
"1121510400","11215104",광진구,광장동
"1121510500","11215105",광진구,자양동
"1121510700","11215107",광진구,화양동
"1121510900","11215109",광진구,군자동
"1123010100","11230101",동대문구,신설동
"1123010200","11230102",동대문구,용두동
"1123010300","11230103",동대문구,제기동
"1123010400","11230104",동대문구,전농동
"1123010500","11230105",동대문구,답십리동
"1123010600","11230106",동대문구,장안동
"1123010700","11230107",동대문구,청량리동
"1123010800","11230108",동대문구,회기동
"1123010900","11230109",동대문구,휘경동
"1123011000","11230110",동대문구,이문동
"1126010100","11260101",중랑구,면목동
"1126010200","11260102",중랑구,상봉동
"1126010300","11260103",중랑구,중화동
"1126010400","11260104",중랑구,묵동
"1126010500","11260105",중랑구,망우동
"1126010600","11260106",중랑구,신내동
"1129010100","11290101",성북구,성북동
"1129010200","11290102",성북구,성북동1가
"1129010300","11290103",성북구,돈암동
"1129010400","11290104",성북구,동소문동1가
"1129010500","11290105",성북구,동소문동2가
"1129010600","11290106",성북구,동소문동3가
"1129010700","11290107",성북구,동소문동4가
"1129010800","11290108",성북구,동소문동5가
"1129010900","11290109",성북구,동소문동6가
"1129011000","11290110",성북구,동소문동7가
"1129011100","11290111",성북구,삼선동1가
"1129011200","11290112",성북구,삼선동2가
"1129011300","11290113",성북구,삼선동3가
"1129011400","11290114",성북구,삼선동4가
"1129011500","11290115",성북구,삼선동5가
"1129011600","11290116",성북구,동선동1가
"1129011700","11290117",성북구,동선동2가
"1129011800","11290118",성북구,동선동3가
"1129011900","11290119",성북구,동선동4가
"1129012000","11290120",성북구,동선동5가
"1129012100","11290121",성북구,안암동1가
"1129012200","11290122",성북구,안암동2가
"1129012300","11290123",성북구,안암동3가
"1129012400","11290124",성북구,안암동4가
"1129012500","11290125",성북구,안암동5가
"1129012600","11290126",성북구,보문동4가
"1129012700","11290127",성북구,보문동5가
"1129012800","11290128",성북구,보문동6가
"1129012900","11290129",성북구,보문동7가
"1129013000","11290130",성북구,보문동1가
"1129013100","11290131",성북구,보문동2가
"1129013200","11290132",성북구,보문동3가
"1129013300","11290133",성북구,정릉동
"1129013400","11290134",성북구,길음동
"1129013500","11290135",성북구,종암동
"1129013600","11290136",성북구,하월곡동
"1129013700","11290137",성북구,상월곡동
"1129013800","11290138",성북구,장위동
"1129013900","11290139",성북구,석관동
"1130510100","11305101",강북구,미아동
"1130510200","11305102",강북구,번동
"1130510300","11305103",강북구,수유동
"1130510400","11305104",강북구,우이동
"1132010500","11320105",도봉구,쌍문동
"1132010600","11320106",도봉구,방학동
"1132010700","11320107",도봉구,창동
"1132010800","11320108",도봉구,도봉동
"1135010200","11350102",노원구,월계동
"1135010300","11350103",노원구,공릉동
"1135010400","11350104",노원구,하계동
"1135010500","11350105",노원구,상계동
"1135010600","11350106",노원구,중계동
"1138010100","11380101",은평구,수색동
"1138010200","11380102",은평구,녹번동
"1138010300","11380103",은평구,불광동
"1138010400","11380104",은평구,갈현동
"1138010500","11380105",은평구,구산동
"1138010600","11380106",은평구,대조동
